2024-08-29 21:50:36,632 - default_logger - INFO - Starting main process
2024-08-29 21:50:36,799 - default_logger - INFO - Getting dataset: california
2024-08-29 21:50:36,800 - default_logger - INFO - Loading California Housing dataset
2024-08-29 21:50:36,819 - default_logger - INFO - California Housing dataset loaded. Shape: torch.Size([20640, 8])
2024-08-29 21:50:36,840 - default_logger - INFO - Model architecture:
ScoreNetwork(
  (time_embed): Sequential(
    (0): Linear(in_features=1, out_features=256, bias=True)
    (1): SiLU()
    (2): Linear(in_features=256, out_features=256, bias=True)
  )
  (input_proj): Linear(in_features=8, out_features=256, bias=True)
  (layers): ModuleList(
    (0-7): 8 x Sequential(
      (0): Linear(in_features=256, out_features=256, bias=True)
      (1): LayerNorm((256,), eps=1e-05, elementwise_affine=True)
      (2): SiLU()
      (3): Linear(in_features=256, out_features=256, bias=True)
      (4): LayerNorm((256,), eps=1e-05, elementwise_affine=True)
      (5): SiLU()
    )
  )
  (final): Linear(in_features=256, out_features=8, bias=True)
)
2024-08-29 21:50:36,845 - default_logger - INFO - Starting score model training
2024-08-29 21:50:39,754 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,811 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,861 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,914 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:39,957 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,008 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,058 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,107 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,158 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,210 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,253 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,297 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,350 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,399 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,443 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,491 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,529 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,573 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,690 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,742 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,783 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,830 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,872 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:40,983 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,034 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,075 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,127 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,167 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,215 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,262 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,305 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,349 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,396 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,440 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,486 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,530 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,574 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,617 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,663 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,705 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,750 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:41,974 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,022 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,061 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,123 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,169 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,210 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,259 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,308 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,358 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,401 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,443 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,492 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,535 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,570 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,617 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,669 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,702 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,749 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,796 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,842 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,885 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,929 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:42,979 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,029 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,074 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,201 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,252 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,287 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,332 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,378 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,507 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,556 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,591 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,647 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,772 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,821 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,870 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:43,995 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,041 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,088 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,136 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,190 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,237 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,380 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,433 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,488 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,652 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,907 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:44,982 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,029 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,074 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,118 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,169 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,207 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,258 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,402 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,452 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,501 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,761 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,843 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,887 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,927 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:45,982 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,109 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,165 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,213 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,253 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,295 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,344 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,571 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,653 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,825 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:46,971 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,143 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,293 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,343 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,399 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,536 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,586 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,647 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,698 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,749 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,796 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,842 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,887 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,936 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:47,982 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,049 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,207 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,380 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,441 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,491 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,544 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,595 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,651 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,695 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,748 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:48,803 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,062 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,128 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,204 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,253 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,305 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,355 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,411 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,462 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,506 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,559 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,608 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,659 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,713 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:49,940 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,190 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,243 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,293 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,349 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,394 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,446 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,493 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,543 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,670 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,726 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,785 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:50,825 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,078 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,129 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,176 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,228 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,274 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,405 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,454 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,603 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,661 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,708 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,843 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:51,902 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,043 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,101 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,154 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,195 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,253 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,391 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,454 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,607 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,655 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,702 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,854 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,920 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:52,967 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,028 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,077 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,125 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,169 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,211 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,353 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,408 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,468 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,515 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,660 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,825 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,897 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:53,983 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,074 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,163 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,239 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,326 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,383 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,458 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,546 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,634 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,691 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,750 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:54,827 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,055 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,269 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,344 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,419 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,487 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,543 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,597 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,652 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,708 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,764 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,815 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,869 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,926 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:55,981 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,033 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,087 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,141 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,196 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,253 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,313 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,368 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,427 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,488 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,540 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,600 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,675 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,744 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,816 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,890 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:56,967 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,055 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,123 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,200 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,426 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,515 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,594 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,672 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,777 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,845 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,914 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:57,987 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,071 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,139 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,223 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,294 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,371 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,455 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,535 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,614 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,706 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,783 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:58,855 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,092 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,174 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,246 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,322 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,410 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,475 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,550 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,775 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,850 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:50:59,925 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:00,020 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:00,122 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:00,203 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:00,421 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:00,515 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:00,614 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:00,704 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:00,970 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,046 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,112 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,161 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,207 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,253 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,303 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,449 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,499 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,545 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,588 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,748 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,798 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,844 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,888 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,929 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:01,983 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,061 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,123 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,187 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,233 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,281 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,326 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,371 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,419 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,487 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,639 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,779 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:02,871 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:03,108 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:03,186 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:03,247 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:03,331 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:03,402 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:03,461 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:03,703 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:03,810 - default_logger - WARNING - Loss is not finite: nan
2024-08-29 21:51:03,890 - default_logger - WARNING - Loss is not finite: nan
