2024-08-29 20:49:21,809 - default_logger - INFO - Starting main process
2024-08-29 20:49:21,809 - default_logger - INFO - Starting main process
2024-08-29 20:49:21,809 - default_logger - INFO - Starting main process
2024-08-29 20:49:21,972 - default_logger - INFO - Getting dataset: california
2024-08-29 20:49:21,972 - default_logger - INFO - Getting dataset: california
2024-08-29 20:49:21,972 - default_logger - INFO - Getting dataset: california
2024-08-29 20:49:21,972 - default_logger - INFO - Getting dataset: california
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:21,973 - default_logger - INFO - Loading California Housing dataset
2024-08-29 20:49:23,509 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,509 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,509 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,509 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,509 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,509 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,512 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,512 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,512 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,512 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,512 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,512 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,514 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,514 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,514 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,514 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,514 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,514 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,517 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,517 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,517 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,517 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,517 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,517 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,529 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,529 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,529 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,529 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,529 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,529 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,542 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,542 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,542 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,542 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,542 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,542 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,546 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,546 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,546 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,546 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,546 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,546 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,549 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,549 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,549 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,549 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,549 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,549 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,557 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,557 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,557 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,557 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,557 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,557 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,566 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,566 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,566 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,566 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,566 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,566 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,569 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,569 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,569 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,569 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,569 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,569 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,571 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,571 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,571 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,571 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,571 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,571 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,574 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,574 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,574 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,574 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,574 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,574 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,576 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,576 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,576 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,576 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,576 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,576 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,578 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,578 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,578 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,578 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,578 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,578 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,580 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,580 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,580 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,580 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,580 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,580 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,583 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,583 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,583 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,583 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,583 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,583 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,585 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,585 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,585 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,585 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,585 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,585 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,587 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,587 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,587 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,587 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,587 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,587 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,592 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,592 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,592 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,592 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,592 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,592 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,595 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,595 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,595 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,595 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,595 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,595 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,597 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,597 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,597 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,597 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,597 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,597 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,600 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,600 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,600 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,600 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,600 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,600 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,604 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,604 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,604 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,604 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,604 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,604 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,611 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,611 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,611 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,611 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,611 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,611 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,615 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,615 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,615 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,615 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,615 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,615 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,617 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,617 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,617 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,617 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,617 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,617 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,619 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,619 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,619 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,619 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,619 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,619 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,621 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,621 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,621 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,621 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,621 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,621 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,624 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,624 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,624 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,624 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,624 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,624 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,627 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,627 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,627 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,627 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,627 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,627 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,629 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,629 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,629 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,629 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,629 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,629 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,631 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,631 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,631 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,631 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,631 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,631 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,633 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,633 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,633 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,633 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,633 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,633 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,635 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,635 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,635 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,635 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,635 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,635 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,639 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,639 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,639 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,639 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,639 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,639 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,644 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,644 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,644 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,644 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,644 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,644 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,646 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,646 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,646 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,646 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,646 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,646 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,650 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,650 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,650 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,650 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,650 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,650 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,661 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,661 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,661 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,661 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,661 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,661 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,664 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,664 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,664 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,664 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,664 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,664 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,667 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,667 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,667 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,667 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,667 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,667 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,669 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,669 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,669 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,669 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,669 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,669 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,671 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,671 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,671 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,671 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,671 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,671 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,674 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,674 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,674 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,674 - default_logger - WARNING - Encountered NaN loss, skipping batch
2024-08-29 20:49:23,674 - default_logger - WARNING - Encountered NaN loss, skipping batch
